"HighTemp","LowTemp","AverageTemp","DewPoint","DewPointHigh","DewPointLow","DewPointAverage","SeaLevelPressure","Rain"
56,47,51.9,45.68,50,41,45.68,30.15,"Rain"
57,41,50.24,43.48,50,34,43.48,30.29,"No Rain"
47,35,40.31,34.57,36,32,34.57,30.43,"Rain"
49,40,43.5,37.09,40,33,37.09,30.14,"Rain"
63,43,54.13,40.83,49,34,40.83,30.1,"Rain"
72,50,60.17,43.33,46,40,43.33,30.18,"No Rain"
65,58,60.72,49.2,54,46,49.2,30.03,"Rain"
81,60,68.92,55.58,59,50,55.58,30.11,"No Rain"
87,59,71.83,55.75,60,53,55.75,30.11,"No Rain"
76,56,62,57.24,59,55,57.24,30.16,"Rain"
64,38,50.28,38.92,42,35,38.92,30.21,"No Rain"
51,32,39.18,32.53,41,27,32.53,30.56,"Rain"
